Step,Note,Octave 1,Octave 2,Octave 3,Octave 4,Octave 5,Octave 6,Octave 7,Octave 8,Octave 9,Octave 10,Octave 11,Octave 12,Octave 13,Octave 14,Octave 15,Octave 16,Octave 17,Octave 18,Octave 19
1,C  ,64,128,256,512,1024,2048,4096,8192,16384,32768,65536,131072,262144,524288,1048576,2097152,4194304,8388608,16777216
2,C sharp,68,136,272,544,1088,2176,4352,8704,17408,34816,69632,139264,278528,557056,1114112,2228224,4456448,8912896,17825792
3,D,72,144,288,576,1152,2304,4608,9216,18432,36864,73728,147456,294912,589824,1179648,2359296,4718592,9437184,18874368
4,D sharp,76,152,304,608,1216,2432,4864,9728,19456,38912,77824,155648,311296,622592,1245184,2490368,4980736,9961472,19922944
5,E,80,160,320,640,1280,2560,5120,10240,20480,40960,81920,163840,327680,655360,1310720,2621440,5242880,10485760,20971520
6,E sharp,84,168,336,672,1344,2688,5376,10752,21504,43008,86016,172032,344064,688128,1376256,2752512,5505024,11010048,22020096
7,F,88,176,352,704,1408,2816,5632,11264,22528,45056,90112,180224,360448,720896,1441792,2883584,5767168,11534336,23068672
8,F sharp,92,184,368,736,1472,2944,5888,11776,23552,47104,94208,188416,376832,753664,1507328,3014656,6029312,12058624,24117248
9,G,96,192,384,768,1536,3072,6144,12288,24576,49152,98304,196608,393216,786432,1572864,3145728,6291456,12582912,25165824
10,G sharp,100,200,400,800,1600,3200,6400,12800,25600,51200,102400,204800,409600,819200,1638400,3276800,6553600,13107200,26214400
11,H,104,208,416,832,1664,3328,6656,13312,26624,53248,106496,212992,425984,851968,1703936,3407872,6815744,13631488,27262976
12,H sharp,108,216,432,864,1728,3456,6912,13824,27648,55296,110592,221184,442368,884736,1769472,3538944,7077888,14155776,28311552
13,A,112,224,448,896,1792,3584,7168,14336,28672,57344,114688,229376,458752,917504,1835008,3670016,7340032,14680064,29360128
14,A sharp,116,232,464,928,1856,3712,7424,14848,29696,59392,118784,237568,475136,950272,1900544,3801088,7602176,15204352,30408704
15,B,120,240,480,960,1920,3840,7680,15360,30720,61440,122880,245760,491520,983040,1966080,3932160,7864320,15728640,31457280
16,B sharp,124,248,496,992,1984,3968,7936,15872,31744,63488,126976,253952,507904,1015808,2031616,4063232,8126464,16252928,32505856